name,CONML,gvkey_n,sdc_cusip
Interpharm Holdings Inc,Interpharm Holdings Inc.,27825,460588
Internet America Inc,Internet America Inc,116610,46058Y
InterPrivate Acquisition Corp,InterPrivate Acquisition Corp,36046,46064A
Intersect ENT Inc,Intersect ENT Inc,21006,46071F
InterVideo Inc,Intervideo Inc,146735,46114Y
Intuit Inc,Intuit Inc.,27928,461202
Inventure Foods Inc,Inventure Foods Inc,64102,461212
Intrusion Inc,Intrusion Inc,25302,46121E
IntriCon Corp,Intricon Corp,9590,46121H
Inuvo Inc,Inuvo Inc,23226,46122W
Investco Corp,Investco Inc,106092,461294
Investar Holding Corp,Investar Holding Corp,20628,46134L
Investors Title Co,Investors Title Co,14401,461804
INVISA Inc,Invisa Inc -Old,139137,461850
Invitae Corp,Invitae Corp,22867,46185L
Invitation Homes Inc,Invitation Homes Inc,30004,46187W
ION Geophysical Corp,ION Geophysical Corp,23810,462044
Ionis Pharmaceuticals Inc,Ionis Pharmaceuticals Inc,24040,462222
iRobot Corp,iRobot Corp,164416,462726
Iron Mountain Inc,Iron Mountain Inc,62374,462846
Ironwood Pharmaceuticals Inc,Ironwood Pharmaceuticals Inc,184256,46333X
Ikaria Inc,Ikaria Inc,182350,46396W
ITT Corp,ITT Inc,5860,46413M
Isle of Capri Casinos Inc,Isle of Capri Casinos Inc,25314,464592
Isramco Inc,Isramco Inc,6194,465141
Issuer Direct Corp,Issuer Direct Corp,183139,46520M
Iteris Inc,Iteris Inc,8087,46564T
i3 Verticals Inc,I3 Verticals Inc,33638,46571Y
Itron Inc,Itron Inc,29133,465741
IVAX Corp,Ivax Corp,14446,465823
JER Investors Trust Inc,JER Investors Trust Inc,163049,46614H
JPMorgan Chase & Co,JPMorgan Chase & Co,2968,46625H
Jack in the Box Inc,Jack in the Box Inc.,13092,466367
Industrial Rubber Products Inc,Industrial Rubber Products Inc,109764,46887Q
Jacobs Engineering Group Inc,Jacobs Engineering Group Inc.,6216,469814
JAG Media Holdings Inc,Jag Media Holdings Inc,148131,470080
James River Coal Co,James River Coal Co,160838,470355
Janus Capital Group Inc,Janus Capital Group Inc,137232,47102X
Jarden Corp,Jarden Corp,27980,471109
Jason Inc,Jason Inc,13417,471171
Jason Industries Inc,Jason Industries Inc,18479,471172
Jefferies Group Inc,Jefferies Group LLC,6239,472319
IMH Financial Corp,IMH Financial Corp,185811,47259J
Jensyn Acquisition Corp,Jensyn Acquisition Corp,26562,47632B
John Bean Technologies Corp,John Bean Technologies Corp,180466,477839
Jones Media Networks Ltd,Jones Media Networks Ltd,116929,48018Q
Jones Energy Inc,Jones Energy Inc,18109,48019R
Jones Lang LaSalle Inc,Jones Lang LaSalle Inc,65108,48020Q
Jordan Industries Inc,Jordan Industries Inc,21701,480695
Journal Communications Inc,Journal Communications Inc.,12478,481130
J2 Global Inc,j2 Global Inc,122172,48123V
Juhl Energy Inc,Juhl Energy Inc,179177,48132B
KMC Telecom Holdings Inc,KMC Telecom Holdings Inc,148268,48198C
Juniata Valley Financial Corp,Juniata Valley Financial Corp,31385,482016
Juniper Networks Inc,Juniper Networks Inc,121718,48203R
Jupiter Media Metrix Inc,Jupiter Media Metrix Inc,120314,48206U
Jushi Holdings Inc,Jushi Holdings Inc,35323,48213Y
KAR Auction Services Inc,KAR Auction Services Inc,183581,48238T
KBL Merger Corp IV,KBL Merger Corp IV,31509,48242A
